"","FTSE100_returns_1984.05.08","Nikkei225_returns_1990.09.27","SP500_returns_1982.04.23","US_2Y_Note_returns_1990.06.26","US_30Y_returns_1977.08.24","AUD_returns_1987.01.15","CHF_returns_1975.02.18","GBP_returns_1975.02.18","Copper_returns_1959.07.07","Cotton_returns_1972.08.24","Brent_Crude_returns_1993.03.19","Gas_Oil_returns_bereinigt_1989.12.13","Heating_Oil_returns_bereinigt_1979.03.08","Natural_Gas_returns_1990.04.05","Gold_returns_1975.01.03","Palladium_returns_1977.01.07","Platinum_returns_1969.01.06","Long_Gilt_returns_1990.08.21","US_5Y_Note_returns_1988.05.24","US_10Y_returns_1982.05.05"
"2008-09-24",0.0180805010328356,0,0.0336188260394769,0.785532252744555,0,0.00757339042444062,0,0.0361780077456507,0.022088309780754,0,0.0206432141817868,0.00718456000049109,0,0,0,0,0.0276997999760953,0.0414011380739142,0,0
"2008-09-25",0.0189014063663615,0,0.0333203427851336,0.78153388037075,0,0.00796838008563181,0,0.0377372313952763,0.0220056318732564,0,0.0213097649510223,0.00676620105076005,0,0,0,0,0.0278395493784139,0.0426176117433942,0,0
"2008-09-26",0.0174430061035365,0,0.0347530227430012,0.788755393955887,0,0.00787539381271971,0,0.0362801310592374,0.0220617514998195,0,0.0212198119505289,0.00628962596981949,0,0,0,0,0.0252858440205002,0.0400360188849503,0,0
"2008-09-29",0.0169925183782067,0,0.0342419480296637,0.788915066921457,0,0.00710735399769781,0,0.036321672622793,0.0221679368151346,0,0.0201142129557769,0.00729472676462514,0,0,0,0,0.0258082120300632,0.041036351484582,0,0
"2008-09-30",0.0178190700422368,0,0.0342917677245042,0.789556372162994,0,0.0087519010234175,0,0.0360878476940114,0.0215196356398696,0,0.0211400045849916,0.00634427999112085,0,0,0,0,0.024745044373593,0.0397440767632612,0,0
"2008-10-01",0.0177082833957393,0,0.0353987949649468,0.791741260472505,0,0.00840654192072852,0,0.0359070719764723,0.0212807716927211,0,0.0198291409505514,0.00729518474994058,0,0,0,0,0.0244108833904913,0.0380220664859036,0,0
"2008-10-02",0.0189456359521927,0,0.0335775320705827,0.788908810525291,0,0.00910333427501371,0,0.0370569389475583,0.0211345618252255,0,0.0195300032387467,0.00744979551289787,0,0,0,0,0.023779842787394,0.0405135448650977,0,0
"2008-10-03",0.0192436834306957,0,0.0329081771999978,0.790061078130475,0,0.00877796620938496,0,0.0372569210124354,0.0211298473465411,0,0.0194434734183902,0.00747409173199184,0,0,0,0,0.0236388735032207,0.0400658880168677,0,0
"2008-10-06",0.0169076526857785,0,0.0343490832554048,0.797942852278037,0,0.00225509480613659,0,0.0336843449047345,0.0212867923944891,0,0.0209053586740969,0.0068826468161844,0,0,0,0,0.025513564456667,0.0402726097284712,0,0
"2008-10-07",0.0189604271527291,0,0.0296263339476463,0.795802022658977,0,0.00621408057133126,0,0.0353875017525011,0.0210034221502362,0,0.0193320961087759,0.00688245388907274,0,0,0,0,0.0263852874277511,0.0404063743409789,0,0
